"megaphone; social activist","activism"
"bread and cake; baking bad","baking"
"bird person","birds"
"cat person","cats"
"Clojure logo","clojure"
"coffee cup; coffee drinker","coffee"
"Pow!; comics hero","comics"
"glue; social gluer","connection"
"pot on a stove; cooking is cool","cooking"
"CSS","css"
"pen tool; design driven","design"
"20-sided die; critical roller","dnd"
"dog person","dogs"
"clothes; fashion fan","fashion"
"yarn and cross stitch; fiber artist","fiber-arts"
"film strip; film & tv buff","film&tv"
"kettle bell weight; fitness is fun","fitness"
"flag; fun with flags","flags"
"location market in a gift box; geocacher","geocaching"
"sparkling minerals; rocks rock","geology"
"Go gopher logo","go"
"scroll and quill; history buff","history"
"HTML","html"
"Java Duke","java"
"JavaScript logo","javascript"
"microphone; karaoke crooner","karaoke"
"talk bubbles; lively linguist","languages"
"saw and hammer; wake and make","making"
"map; map legend","maps"
"record and keyboard; music maven","music"
"tent in the woods; nature rules","nature"
"newspaper; news hound","news"
"NodeJS logo","nodejs"
"drama masks; theater nerd","performing-arts"
"camera; photographer","photography"
"PHP logo","php"
"house plant; plant parent","plants"
"person at a podium; pumped 4 politics","politics"
"puzzle and Rubik’s cube; puzzle master ","puzzles"
"Python logo","python"
"stack of books; book worm","reading"
"Ruby logo","ruby"
"Scala logo","scala"
"robot helmet; sci-fi and fantasy","sci-fi&fantasy"
"chemistry equipment; science nerd","science"
"mirror with hearts; self loving","self-care"
"planets in space; space is far out","space"
"sports equipment; sportsball","sports"
"game pieces and cards; tabletop gamer","tabletop-games"
"heart with a banner; body artist","tattoos"
"teapot; tea sipper","tea"
"plane flying around the earth; globe trotter","travel"
"Mario question box; video gamer","video-games"
"pencils and brushes; visual artist ","visual-arts"
"typewriter; wordsmith","writing"
